dates,Total_cases
2020-01-22,555.0
2020-01-23,654.0
2020-01-24,941.0
2020-01-25,1434.0
2020-01-26,2118.0
2020-01-27,2927.0
2020-01-28,5578.0
2020-01-29,6167.0
2020-01-30,8235.0
2020-01-31,9927.0
2020-02-01,12038.0
2020-02-02,16787.0
2020-02-03,19887.0
2020-02-04,23898.0
2020-02-05,27643.0
2020-02-06,30803.0
2020-02-07,34396.0
2020-02-08,37130.0
2020-02-09,40160.0
2020-02-10,42769.0
2020-02-11,44811.0
2020-02-12,45229.0
2020-02-13,60382.0
2020-02-14,66909.0
2020-02-15,69051.0
2020-02-16,71235.0
2020-02-17,73270.0
2020-02-18,75152.0
2020-02-19,75652.0
2020-02-20,76212.0
2020-02-21,76841.0
2020-02-22,78602.0
2020-02-23,78982.0
2020-02-24,79546.0
2020-02-25,80399.0
2020-02-26,81376.0
2020-02-27,82736.0
2020-02-28,84123.0
2020-02-29,86013.0
2020-03-01,88394.0
2020-03-02,90377.0
2020-03-03,92971.0
2020-03-04,95279.0
2020-03-05,98090.0
2020-03-06,102003.0
2020-03-07,106098.0
2020-03-08,110047.0
2020-03-09,114219.0
2020-03-10,119041.0
2020-03-11,126702.0
2020-03-12,132492.0
2020-03-13,146879.0
2020-03-14,157952.0
2020-03-15,169222.0
2020-03-16,184032.0
2020-03-17,199976.0
2020-03-18,219535.0
2020-03-19,246584.0
2020-03-20,277361.0
2020-03-21,309363.0
2020-03-22,344194.0
2020-03-23,387045.0
2020-03-24,428205.0
2020-03-25,479223.0
2020-03-26,542053.0
2020-03-27,607114.0
2020-03-28,674360.0
2020-03-29,733612.0
2020-03-30,798890.0
2020-03-31,875739.0
2020-04-01,952172.0
2020-04-02,1033388.0
2020-04-03,1116618.0
2020-04-04,1175629.0
2020-04-05,1246549.0
2020-04-06,1318482.0
2020-04-07,1388956.0
2020-04-08,1473309.0
2020-04-09,1558977.0
2020-04-10,1643587.0
2020-04-11,1718073.0
2020-04-12,1837439.0
2020-04-13,1907058.0
2020-04-14,1990793.0
2020-04-15,2072667.0
2020-04-16,2169593.0
2020-04-17,2257225.0
2020-04-18,2334507.0
2020-04-19,2410704.0
2020-04-20,2485347.0
2020-04-21,2561192.0
2020-04-22,2642885.0
2020-04-23,2726775.0
2020-04-24,2812325.0
2020-04-25,2895703.0
2020-04-26,2967633.0
2020-04-27,3037310.0
2020-04-28,3112818.0
2020-04-29,3191303.0
2020-04-30,3275136.0
2020-05-01,3362854.0
2020-05-02,3442433.0
2020-05-03,3518905.0
2020-05-04,3595904.0
2020-05-05,3676385.0
2020-05-06,3766928.0
2020-05-07,3855986.0
2020-05-08,3946360.0
2020-05-09,4031230.0
2020-05-10,4106395.0
2020-05-11,4183162.0
2020-05-12,4267380.0
2020-05-13,4352926.0
2020-05-14,4449365.0
2020-05-15,4545629.0
2020-05-16,4640255.0
2020-05-17,4717963.0
2020-05-18,4806756.0
2020-05-19,4903625.0
2020-05-20,5005715.0
2020-05-21,5112537.0
2020-05-22,5218869.0
2020-05-23,5323651.0
2020-05-24,5417600.0
2020-05-25,5503997.0
2020-05-26,5597738.0
2020-05-27,5700726.0
2020-05-28,5820243.0
2020-05-29,5941222.0
2020-05-30,6078182.0
2020-05-31,6184705.0
2020-06-01,6280195.0
2020-06-02,6401873.0
2020-06-03,6516424.0
2020-06-04,6646988.0
2020-06-05,6778296.0
2020-06-06,6912473.0
2020-06-07,7024369.0
2020-06-08,7126925.0
2020-06-09,7251788.0
2020-06-10,7386896.0
2020-06-11,7524698.0
2020-06-12,7653352.0
2020-06-13,7788675.0
2020-06-14,7921152.0
2020-06-15,8040549.0
2020-06-16,8182592.0
2020-06-17,8325910.0
2020-06-18,8466163.0
2020-06-19,8645924.0
2020-06-20,8802583.0
2020-06-21,8930620.0
2020-06-22,9068872.0
2020-06-23,9234850.0
2020-06-24,9406019.0
2020-06-25,9584535.0
2020-06-26,9775811.0
2020-06-27,9953417.0
2020-06-28,10116884.0
2020-06-29,10271218.0
2020-06-30,10445212.0
2020-07-01,10662757.0
2020-07-02,10871648.0
2020-07-03,11073275.0
2020-07-04,11267232.0
2020-07-05,11450285.0
2020-07-06,11614779.0
2020-07-07,11826336.0
2020-07-08,12040240.0
2020-07-09,12267063.0
2020-07-10,12499511.0
2020-07-11,12716887.0
2020-07-12,12909403.0
2020-07-13,13100182.0
2020-07-14,13321954.0
2020-07-15,13553556.0
2020-07-16,13805553.0
2020-07-17,14047878.0
2020-07-18,14284153.0
2020-07-19,14497750.0
2020-07-20,14703987.0
2020-07-21,14937252.0
2020-07-22,15218679.0
2020-07-23,15501567.0
2020-07-24,15782781.0
2020-07-25,16037160.0
2020-07-26,16250041.0
2020-07-27,16475833.0
2020-07-28,16727820.0
2020-07-29,17019450.0
2020-07-30,17299862.0
2020-07-31,17590801.0
2020-08-01,17839725.0
2020-08-02,18071254.0
2020-08-03,18276904.0
2020-08-04,18533341.0
2020-08-05,18810016.0
2020-08-06,19095179.0
2020-08-07,19376744.0
2020-08-08,19635237.0
2020-08-09,19860571.0
2020-08-10,20087537.0
2020-08-11,20344121.0
2020-08-12,20621615.0
2020-08-13,20911416.0
2020-08-14,21214512.0
2020-08-15,21461874.0
2020-08-16,21678065.0
2020-08-17,21885879.0
2020-08-18,22144138.0
2020-08-19,22424104.0
2020-08-20,22696538.0
2020-08-21,22957556.0
2020-08-22,23221983.0
2020-08-23,23428421.0
2020-08-24,23653584.0
2020-08-25,23897383.0
2020-08-26,24181595.0
2020-08-27,24465330.0
2020-08-28,24748965.0
2020-08-29,25015437.0
2020-08-30,25236699.0
2020-08-31,25499317.0
2020-09-01,25764220.0
2020-09-02,26047805.0
2020-09-03,26328824.0
2020-09-04,26642643.0
2020-09-05,26912605.0
2020-09-06,27143348.0
2020-09-07,27361075.0
2020-09-08,27602981.0
2020-09-09,27887688.0
2020-09-10,28187730.0
2020-09-11,28508666.0
2020-09-12,28795068.0
2020-09-13,29037765.0
2020-09-14,29300957.0
2020-09-15,29586377.0
2020-09-16,29890419.0
2020-09-17,30205112.0
2020-09-18,30530715.0
2020-09-19,30822979.0
2020-09-20,31075065.0
2020-09-21,31350821.0
2020-09-22,31635042.0
2020-09-23,31910493.0
2020-09-24,32262651.0
2020-09-25,32592948.0
2020-09-26,32880906.0
2020-09-27,33132305.0
2020-09-28,33386140.0
2020-09-29,33668179.0
2020-09-30,33996322.0
2020-10-01,34314446.0
2020-10-02,34611681.0
2020-10-03,34943763.0
2020-10-04,35205506.0
2020-10-05,35505922.0
2020-10-06,35832039.0
2020-10-07,36182846.0
2020-10-08,36543890.0
2020-10-09,36904287.0
2020-10-10,37260796.0
2020-10-11,37548224.0
2020-10-12,37839129.0
2020-10-13,38158142.0
2020-10-14,38540161.0
2020-10-15,38946718.0
2020-10-16,39357905.0
2020-10-17,39730605.0
2020-10-18,40047114.0
2020-10-19,40433331.0
2020-10-20,40821933.0
2020-10-21,41266493.0
2020-10-22,41738433.0
2020-10-23,42234397.0
2020-10-24,42691087.0
2020-10-25,43051170.0
2020-10-26,43536814.0
2020-10-27,44006276.0
2020-10-28,44517379.0
2020-10-29,45067541.0
2020-10-30,45637658.0
2020-10-31,46113465.0
2020-11-01,46575736.0
2020-11-02,47136486.0
2020-11-03,47689293.0
2020-11-04,48199622.0
2020-11-05,48794945.0
2020-11-06,49438618.0
2020-11-07,50036298.0
2020-11-08,50515513.0
2020-11-09,51017685.0
2020-11-10,51575582.0
2020-11-11,52223757.0
2020-11-12,52870794.0
2020-11-13,53521418.0
2020-11-14,54116492.0
2020-11-15,54590191.0
2020-11-16,55120479.0
2020-11-17,55728841.0
2020-11-18,56355318.0
2020-11-19,57006705.0
2020-11-20,57673512.0
2020-11-21,58262037.0
2020-11-22,58749938.0
2020-11-23,59268403.0
2020-11-24,59857850.0
2020-11-25,60494209.0
2020-11-26,61078085.0
2020-11-27,61749078.0
2020-11-28,62346903.0
2020-11-29,62834341.0
2020-11-30,63339265.0
2020-12-01,63947958.0
2020-12-02,64596103.0
2020-12-03,65288306.0
2020-12-04,65968507.0
2020-12-05,66610808.0
2020-12-06,67149510.0
2020-12-07,67663843.0
2020-12-08,68302251.0
2020-12-09,68973078.0
2020-12-10,70466211.0
2020-12-11,71164680.0
2020-12-12,71787629.0
2020-12-13,72335630.0
2020-12-14,72859287.0
2020-12-15,73485176.0
2020-12-16,74219546.0
2020-12-17,74955161.0
2020-12-18,75672814.0
2020-12-19,76289042.0
2020-12-20,76823486.0
2020-12-21,77364641.0
2020-12-22,78011432.0
2020-12-23,78704434.0
2020-12-24,79374464.0
2020-12-25,79840206.0
2020-12-26,80351598.0
